etichetta,velocita,torque,rep,file_path,num_samples,h_acc_mean,a_acc_mean,a_acc_max,a_acc_kurtosis,v_acc_mean,v_acc_skewness
0,100,50,1,../B - PHM America 2023 - Dataset/Data_Challenge_PHM2023_training_data/Pitting_degradation_level_0 (Healthy)/V100_50N_1.txt,246784,-0.04203802109310012,-0.04911265511767918,0.8547276172,4.0273437396389,-0.044632799245036534,-1.0640472150325628
0,100,50,2,../B - PHM America 2023 - Dataset/Data_Challenge_PHM2023_training_data/Pitting_degradation_level_0 (Healthy)/V100_50N_2.txt,246784,0.00011739810706026644,0.00028309302553010765,0.3271296031,-0.8637995302080843,0.00037347113693131893,-0.28552115747500656
0,100,50,3,../B - PHM America 2023 - Dataset/Data_Challenge_PHM2023_training_data/Pitting_degradation_level_0 (Healthy)/V100_50N_3.txt,246784,-5.984844811306169e-05,-4.918443914306596e-05,0.3498485716,-0.8738050080896915,0.00011959357889512973,-0.28660335987487706
0,100,50,4,../B - PHM America 2023 - Dataset/Data_Challenge_PHM2023_training_data/Pitting_degradation_level_0 (Healthy)/V100_50N_4.txt,246784,-0.0001472441632457007,5.9926378205960624e-05,0.311826671,-0.8780433356865887,0.00023789317208240974,-0.28618112806407864
0,100,50,5,../B - PHM America 2023 - Dataset/Data_Challenge_PHM2023_training_data/Pitting_degradation_level_0 (Healthy)/V100_50N_5.txt,246784,4.75014414159699e-05,0.0001454855417992468,0.3979939504,-0.8675874396547787,-4.996103305460935e-05,-0.2879884752290838
0,100,100,1,../B - PHM America 2023 - Dataset/Data_Challenge_PHM2023_training_data/Pitting_degradation_level_0 (Healthy)/V100_100N_1.txt,246784,6.839011161690107e-05,-8.25149781420821e-05,0.3088837994,-0.8372554589485528,-0.00034959294977873116,-0.27206807518064585
0,100,100,2,../B - PHM America 2023 - Dataset/Data_Challenge_PHM2023_training_data/Pitting_degradation_level_0 (Healthy)/V100_100N_2.txt,246784,-9.837943371257901e-05,-8.830761174196345e-05,0.3676235159,-0.8056820436630487,-1.6548368387358492e-05,-0.2768931893336522
0,100,100,3,../B - PHM America 2023 - Dataset/Data_Challenge_PHM2023_training_data/Pitting_degradation_level_0 (Healthy)/V100_100N_3.txt,246784,-0.00012163978288994228,-0.0002746716696465801,0.3968168018,-0.8138622040883483,-0.00013776162678074024,-0.27717381342122144
0,100,100,5,../B - PHM America 2023 - Dataset/Data_Challenge_PHM2023_training_data/Pitting_degradation_level_0 (Healthy)/V100_100N_5.txt,246784,-9.95315931045801e-05,-1.0144263749095563e-05,0.3457285514,-0.8258921444137055,-9.145402818459503e-05,-0.2755343878661438
0,100,200,1,../B - PHM America 2023 - Dataset/Data_Challenge_PHM2023_training_data/Pitting_degradation_level_0 (Healthy)/V100_200N_1.txt,246784,-0.00015972739822739358,-3.710882053819091e-05,0.3284244666,-0.6796671892727901,-7.884132955313313e-05,-0.3030708209464185
0,100,200,2,../B - PHM America 2023 - Dataset/Data_Challenge_PHM2023_training_data/Pitting_degradation_level_0 (Healthy)/V100_200N_2.txt,246784,0.00016340606430134618,0.00012376888972291672,0.3122975304,-0.6713924524527886,-7.601116300369148e-05,-0.3014975233171202
0,100,200,4,../B - PHM America 2023 - Dataset/Data_Challenge_PHM2023_training_data/Pitting_degradation_level_0 (Healthy)/V100_200N_4.txt,246784,-0.00010943855550074197,-0.00010277106992261534,0.4197712,-0.6538314115848327,-6.081000464773819e-05,-0.3016980786672224
0,100,200,5,../B - PHM America 2023 - Dataset/Data_Challenge_PHM2023_training_data/Pitting_degradation_level_0 (Healthy)/V100_200N_5.txt,246784,0.00010156245003227681,-0.00010211138513595488,0.2948757308,-0.6760786199675741,0.0001024177494620667,-0.3015581327656862
0,100,300,1,../B - PHM America 2023 - Dataset/Data_Challenge_PHM2023_training_data/Pitting_degradation_level_0 (Healthy)/V100_300N_1.txt,246784,-8.824173788206603e-05,-0.0001478132799516314,0.3576177525,-0.5569021802951686,-0.00026541942237148856,-0.32735058024563674
