etichetta,velocita,torque,rep,file_path,num_samples,h_acc_mean,h_acc_std,h_acc_rms,h_acc_max,h_acc_kurtosis,h_acc_skewness,a_acc_mean,a_acc_std,a_acc_rms,a_acc_max,a_acc_kurtosis,a_acc_skewness,v_acc_mean,v_acc_std,v_acc_rms,v_acc_max,v_acc_kurtosis,v_acc_skewness,tach_mean,tach_std
0,100,50,1,../B - PHM America 2023 - Dataset/Data_Challenge_PHM2023_training_data/Pitting_degradation_level_0 (Healthy)/V100_50N_1.txt,246784,-0.04203802109310012,0.12551998138430628,0.1323724327197341,0.7946975832,3.8815343144620877,-1.7001943799555435,-0.04911265511767918,0.13314727167016469,0.14191634453408367,0.8547276172,4.0273437396389,-1.7695142313998196,-0.044632799245036534,0.16085520497532982,0.16693257242402723,0.9600534844,1.6538126152980404,-1.0640472150325628,4.457339211618257e-05,0.006676181942465157
0,100,50,2,../B - PHM America 2023 - Dataset/Data_Challenge_PHM2023_training_data/Pitting_degradation_level_0 (Healthy)/V100_50N_2.txt,246784,0.00011739810706026644,0.0739366608729546,0.0739367540764256,0.3158445281,-0.8868068687879376,-0.27474611523987036,0.00028309302553010765,0.07476974672944567,0.07477028265057285,0.3271296031,-0.8637995302080843,-0.28463237692442384,0.00037347113693131893,0.12104779025277063,0.12104836639033535,0.4809305204,-0.9310580249583946,-0.28552115747500656,4.457339211618257e-05,0.006676181942465157
0,100,50,3,../B - PHM America 2023 - Dataset/Data_Challenge_PHM2023_training_data/Pitting_degradation_level_0 (Healthy)/V100_50N_3.txt,246784,-5.984844811306169e-05,0.0744606842581868,0.07446070831004853,0.336065525,-0.8851476592993754,-0.27620600399123474,-4.918443914306596e-05,0.07528637204877998,0.07528638811482705,0.3498485716,-0.8738050080896915,-0.2844449554900263,0.00011959357889512973,0.12183254593038495,0.12183260462824995,0.610110555,-0.9259683093265427,-0.28660335987487706,4.457339211618257e-05,0.006676181942465157
0,100,50,4,../B - PHM America 2023 - Dataset/Data_Challenge_PHM2023_training_data/Pitting_degradation_level_0 (Healthy)/V100_50N_4.txt,246784,-0.0001472441632457007,0.07535635787690202,0.07535650173220187,0.3122469274,-0.8927681166973653,-0.27594706667286223,5.9926378205960624e-05,0.07620322415444107,0.07620324771755331,0.311826671,-0.8780433356865887,-0.2840436784592181,0.00023789317208240974,0.12323456068082421,0.1232347902962352,0.5022596866,-0.9327195460391722,-0.28618112806407864,4.457339211618257e-05,0.006676181942465157
0,100,50,5,../B - PHM America 2023 - Dataset/Data_Challenge_PHM2023_training_data/Pitting_degradation_level_0 (Healthy)/V100_50N_5.txt,246784,4.75014414159699e-05,0.07629578520147229,0.07629579998857168,0.369684483,-0.8876152696350492,-0.2776394755444304,0.0001454855417992468,0.07714275922372504,0.07714289641109211,0.3979939504,-0.8675874396547787,-0.28759851386434404,-4.996103305460935e-05,0.12472261799138709,0.12472262799801125,0.6377059168,-0.9256620544505294,-0.2879884752290838,4.457339211618257e-05,0.006676181942465157
0,100,100,1,../B - PHM America 2023 - Dataset/Data_Challenge_PHM2023_training_data/Pitting_degradation_level_0 (Healthy)/V100_100N_1.txt,246784,6.839011161690107e-05,0.06692021532788506,0.06692025027402296,0.3231637846,-0.8174193224989525,-0.2516964484066502,-8.25149781420821e-05,0.0670268077968131,0.0670268585878269,0.3088837994,-0.8372554589485528,-0.264231225791257,-0.00034959294977873116,0.10772531377834871,0.10772588103085635,0.461288407,-0.9308757989780818,-0.27206807518064585,4.457339211618257e-05,0.006676181942465157
0,100,100,2,../B - PHM America 2023 - Dataset/Data_Challenge_PHM2023_training_data/Pitting_degradation_level_0 (Healthy)/V100_100N_2.txt,246784,-9.837943371257901e-05,0.06726754493436732,0.06726761687476451,0.3358174146,-0.7940483430719856,-0.2567996370679828,-8.830761174196345e-05,0.06741716951058961,0.06741722734623447,0.3676235159,-0.8056820436630487,-0.2729067013516288,-1.6548368387358492e-05,0.10841398604053266,0.10841398730350853,0.483702107,-0.9140897647750044,-0.2768931893336522,4.457339211618257e-05,0.006676181942465157
0,100,100,3,../B - PHM America 2023 - Dataset/Data_Challenge_PHM2023_training_data/Pitting_degradation_level_0 (Healthy)/V100_100N_3.txt,246784,-0.00012163978288994228,0.06711904718308473,0.06711915740682341,0.3631095576,-0.798524889878196,-0.2548494884168811,-0.0002746716696465801,0.06727562956624682,0.06727619027606253,0.3968168018,-0.8138622040883483,-0.26861019071896997,-0.00013776162678074024,0.10821414601643542,0.10821423370486999,0.5072003409,-0.9090524361901986,-0.27717381342122144,4.457339211618257e-05,0.006676181942465157
0,100,100,5,../B - PHM America 2023 - Dataset/Data_Challenge_PHM2023_training_data/Pitting_degradation_level_0 (Healthy)/V100_100N_5.txt,246784,-9.95315931045801e-05,0.06968470551052815,0.06968477659164202,0.3286222132,-0.8171011564648101,-0.2557383426925308,-1.0144263749095563e-05,0.06985727783061603,0.06985727856716124,0.3457285514,-0.8258921444137055,-0.26951869962132863,-9.145402818459503e-05,0.11235809096468531,0.11235812818424741,0.5151535893,-0.9228965975398169,-0.2755343878661438,4.457339211618257e-05,0.006676181942465157
0,100,200,1,../B - PHM America 2023 - Dataset/Data_Challenge_PHM2023_training_data/Pitting_degradation_level_0 (Healthy)/V100_200N_1.txt,246784,-0.00015972739822739358,0.07029854588472682,0.07029872734515745,0.3482229341,-0.6350541703304615,-0.2570479228416884,-3.710882053819091e-05,0.06927637790410461,0.0692763878430225,0.3284244666,-0.6796671892727901,-0.29118783124768177,-7.884132955313313e-05,0.11081949163702895,0.11081951968243128,0.499006085,-0.8045013756161459,-0.3030708209464185,4.457339211618257e-05,0.006676181942465157
